title,release_date,original_language,original_title,overview,tagline,genres,spoken_languages,keywords
Only You,1994-03-04,en,Only You,"A childhood incident has convinced Faith Corvatch that her true love is a guy named ""Damon Bradley,"" but she has yet to meet him. Preparing to settle down and marry a foot doctor, Faith impulsively flies to Venice when it seems that she may be able to finally encounter the man of her dreams. Instead, she meets the charming Peter Wright. But can they fall in love if she still believes that she is intended to be with someone else?",A love story written in the stars.,"Romance, Comedy",english,"fortune teller, soulmates, venice, italy, cheating, italy"
Rufus! Rufus! Rufus! Does Judy! Judy! Judy!,2007-12-03,en,Rufus! Rufus! Rufus! Does Judy! Judy! Judy!,"A live recording from Rufus Wainwright's sold-out February 25, 2007 tribute concert at the London Palladium to the legendary American actress and singer Judy Garland. The tribute concert features the same songs from Garland's well-known 1961 album, Judy at Carnegie Hall.",Rufus Wainwright Re-Creates Judy Garland's Most Famous Concert,Music,english,concert
A Rage to Live,1965-10-20,en,A Rage to Live,"Grace Caldwell, a young Pennsylvania newspaper heiress living with her widowed mother, has trouble restraining herself when it comes to the amorous attentions of young men. As word starts to spread about her behavior, Grace becomes a major source of heartache for her mother and a big source of concern to her brother.",The story of Grace Caldwell Tate really began in the back seat of a car... ...and went from man...to man...to man...,"Drama, Romance",english,"based on novel or book, marriage, romance, love, heiress"
Danger on the Air,1938-06-30,en,Danger on the Air,Trouble begins when a hated cad of a sponsor is found murdered during the climax of a live radio show. A radio engineer then tries to solve the murder.,A Murder Mystery Chiller-Diller!,"Mystery, Comedy, Drama",english,"radio, universal crime club"
The Corsican Brothers,1941-11-28,en,The Corsican Brothers,"Cultured Mario and outlaw Lucien, twins separated at birth, join forces to avenge their parents' death at the hands of evil Colonna. Because each feels all the same sensations experienced by the other, swordplay is difficult for them. Worse yet, raised very differently, they struggle to find common ground between their conflicting personalities. But to defeat their enemy, the two will have to overcome the obstacles and work as a team.",ALEXANDER DUMAS' IMMORTAL CLASSIC,"Adventure, Drama",english,"twin brother, sword fight, brother against brother, doctor, beautiful  woman, bandit, vendetta, carrier pigeon, antidote, twins separated at birth, conjoined twins, identical twin, corsica, mental telepathy, brothers love same woman"
The Legend of Lylah Clare,1968-08-21,en,The Legend of Lylah Clare,"A dictatorial film director hires an unknown actress to play the lead role in a planned movie biography of a late, great Hollywood star.","Overnight, she became a star...Over many nights, she became a legend.",Drama,english,"hollywood, psychological thriller, movie star"
Carol for Another Christmas,1964-12-28,en,Carol for Another Christmas,"Daniel Grudge, a wealthy industrialist and fierce isolationist long embittered by the loss of his son in World War II, is visited by three ghosts on Christmas Eve who lead him to reconsider his attitude toward his fellow man.",Where the future meets the past... and our world collides.,"Drama, Fantasy, TV Movie",english,"based on novel or book, post-apocalyptic future, industrialist, ghost, christmas"
Next Time We Love,1936-01-30,en,Next Time We Love,A young married couple's relationship becomes strained when he is assigned overseas as a foreign correspondent and she becomes a major stage star.,TWO Lovers WITH NO TIME FOR EACH OTHER,"Drama, Romance","english, french, german","marriage proposal, baby, love triangle, marriage, grief, train, railway station, marital problem, foreign correspondent"
Captive Women,1952-10-10,en,Captive Women,"In post-apocalyptic New York, three tribes of survivors (the Norms, the Mutates and the Upriver People) vie for the right to exist.  When the treacherous Upriver People attack the Norms, kill their chief and take their people captive, two Norm refugee men must find a way to ally with the Mutates, who have previously kidnapped Norm women in an effort to reproduce healthy children, to rout the Uprivers, who also seek to kill off the Mutates.",Women of the caves 1000 years from now!,Science Fiction,english,"new york city, mutant, post-apocalyptic future, tribal people"
Jane Austen's Mafia!,1998-07-24,en,Jane Austen's Mafia!,Takeoff on the Godfather with the son of a mafia king taking over for his dying father.,See it early. Avoid the mob.,"Comedy, Crime","italian, english","escape, italy, gangster, postman, mafia, emigrant"
Dear John,2010-02-04,en,Dear John,"While Sergeant John Tyree is home on two weeks leave from Germany, he meets Savannah after he dives into the ocean to retrieve Savannah's purse that had fallen off a pier. John eventually falls in love with Savannah, who promises to write to him until he returns from overseas.",Love brought them together. Will fate tear them apart?,"Drama, Romance, War",english,"army, based on novel or book, romance, love, u.s. soldier, 9/11"
Youth Aflame,1944-10-10,en,Youth Aflame,"One of several WW II-era ""juvenile delinquent"" dramas, Youth Aflame was filmed two years before its 1945 release, and frankly looks much older. It's the old saw about two sisters, one good, one bad. The nice sister (Kay Morley) tries to steer the nasty one (Joy Reece) towards the straight and narrow path, but it's no use. Only when it's too late does the erring sister learn the horrible price of fast driving, hard drinking and uninhibited sex. And it's ALL HER PARENTS' FAULT!!!! Youth Aflame was reissued in 1959 as Hoodlum Girls, during Hollywood's next J.D.-movie cycle.",Thrill-mad! Without shame! Wanton and dangerous!,Drama,english,juvenile delinquent
The Everlasting Secret Family,1988-03-10,en,The Everlasting Secret Family,"A beautiful, if ambitious and amoral, youth is tapped to become the lover of a powerful senator. The young man quickly realizes that he can hold this place, with all its perks, only as long as he is young. He has no other function than being young. With the help of an aged judge, the young man, referred to only as The Lover, contrives a plan to make a change in the way of the world, a plan that will take him years to realize. To succeed, he must manipulate, in subtle and not-so-subtle ways, the senator, his wife, the family chauffeur (who was, when young, a lover), and, by implication, the entire well-planned and controlling everlasting secret family.","Once Promised, Forever Bound",Drama,english,"politics, lgbt"
Silk Stockings,1957-06-28,en,Silk Stockings,"After three bumbling Soviet agents fail in their mission to retrieve a straying Soviet composer from Paris, the beautiful, ultra-serious Ninotchka is sent to complete their mission and to retrieve them. She starts out condemning the decadent West, but gradually falls under its spell—with the help of an American movie producer.  A remake of Ninotchka  (1939).",Sheer delight!,"Comedy, Music, Romance",english,"musical, song and dance, cheesecake"
Ishtar,1987-05-15,en,Ishtar,"Two terrible lounge singers get booked to play a gig in a Moroccan hotel but somehow become pawns in an international power play between the CIA, the Emir of Ishtar, and the rebels trying to overthrow his regime.",Telling the truth can be dangerous business.,"Comedy, Adventure",english,"escape, morocco, wilderness, camel, sahara desert, beautiful woman, singer, singer-songwriter, woman director, adventure comedy, fictional city"
137.7,2022-04-19,en,137.7,A semi-found-footage artistic film exploring shifting self-perceptions and the horror of liminality.,What do you fear?,"Mystery, Horror",English,"surrealism, found footage, liminal, experimental, liminal space, television, surrealist horror, liminal horror, found footage horror, surrealist"
The Night Before Easter,2014-04-12,en,The Night Before Easter,A group of friends are stalked in a storage facility the night before Easter by an axe wielding lunatic in an Easter Bunny costume.,"You've survived Halloween and Black Christmas, but will you survive The Night Before Easter?","Horror, Thriller",english,"easter bunny, serial killer, axe murder, masked killer, holiday horror"
Kill the Umpire,1950-04-27,en,Kill the Umpire,"Ex-baseball player Bill Johnson, failing at many jobs when his ball-playing days are over, reluctantly takes the advice of his father-in-law, Jonah Evans, a retired umpire, and enters an umpire-training school. Assigned to the Texas League, he does fine until the championship play-offs when a riot develops over one of his calls. The involved player is knocked unconscious in the proceedings and cannot verify that Bill made the correct call. Despite lynch mob plans to at least tar-and-feather him, Bill's family - his daughters Lucy (Gloria Henry and Susan and his wife Betty - help Bill reach the ballpark safely the next day through a series of hair-raising encounters.",Columbia's Bases Full of LAUGHS!!!,Comedy,english,"baseball, umpire"
Young Einstein,1988-12-15,en,Young Einstein,"Albert Einstein is the son of a Tasmanian apple farmer, who discovers the secret of splitting the beer atom to put the bubbles back into beer. When Albert travels to Sydney to patent his invention he meets beatuiful French scientist Marie Curie, as well as several unscrupulous types who try to take advantage of the naive genius and his invention.",E=mc²,"Comedy, Science Fiction","spanish, english","rock 'n' roll, atomic bomb, nobel prize, albert einstein, marie curie, tasmanian, tasmania"
The Wicked Lady,1945-11-15,en,The Wicked Lady,A married woman finds new thrills as a masked robber on the highways.,The most daring pair danger ever designed!,"Adventure, Drama","english, italian","mask, double life, based on novel or book, highwayman, 17th century"
Rainy in Glenageary,2019-04-16,en,Rainy in Glenageary,"An experimental true crime documentary based on the unsolved murder of Raonaid Murray, a 17-year-old Irish girl, which achieved nationwide attention during the 2000s.",The story of a girl who didn't deserve to die.,"Documentary, Crime, Animation",english,"rain, murder, ireland, true crime, missing person, unsolved mystery, still photography, unsolved, unsolved crime"
Man Hunt,1941-06-13,en,Man Hunt,"British hunter Thorndike vacationing in Bavaria has Hitler in his gun sight. He is captured, beaten, left for dead, and escapes back to London where he is hounded by German agents and aided by a young woman.",One of the Most Gripping Scenes Ever Filmed...as two world-famous hunters stalk each Other!,"Thriller, War","english, german","sniper, london, england, ambassador, world war ii, stowaway, on the run, british politician, assassination attempt, nazi underworld, big game hunter, steam ship, adolf hitler, pre-war, berghof, nazi germany, cockney, nazi fascism in britain"
The Big Bounce,1969-03-05,en,The Big Bounce,"A Vietnam veteran and ex-con is persuaded by a shady woman to rob a $50,000 payroll account on a California produce farm. But who is playing who?","Hello, Nancy. Hi, Jack. What'll we do tonight? How does the cemetery grab you? Groovy.","Drama, Romance",english,"farm, vietnam veteran, california, robbery, car crash, femme fatale"
Shanghai Surprise,1986-08-29,en,Shanghai Surprise,"Glendon Wasey is a fortune hunter looking for a fast track out of China. Gloria Tatlock is a missionary nurse seeking the curing powers of opium for her patients. Fate sets them on a hectic, exotic, and even romantic quest for stolen drugs. But they are up against every thug and smuggler in Shangai.",A romantic adventure for the dangerous at heart.,"Adventure, Comedy, Crime, Drama, Romance",english,"china, shanghai, china, american abroad"
Demon Resurrection,2008-02-18,en,Demon Resurrection,"In an isolated house, a group of friends battle supernatural forces as they try to protect a young woman from an evil cult in this low-budget shocker that pays homage to 70s horror and exploitation classics.",The Devil Himself Wants Her for His Bride... and He's Sending His Legions of Hell to Get Her!,"Fantasy, Horror, Science Fiction, Thriller",english,"monster, supernatural, zombie, demon, witchcraft, satanic cult, cthulhu, occult horror"
Moonshine County Express,1977-06-01,en,Moonshine County Express,The three surviving daughters of a murdered moonshiner band together with a racecar driver to run high-test shine behind the corpulent backs of the local crime syndicate.,They Make It Every Night,"Action, Crime, Drama",english,"bootlegger, daughter, sheriff, southern usa, revenge, murder, explosion, preacher, moonshine, graveyard, small community, ford mustang"
Clouds Over Europe,1939-02-21,en,Q Planes,"In England, an eccentric police inspector, an earnest test pilot and a spunky female reporter team up to solve the mystery of a series of test aircraft which have disappeared without a trace while over the ocean on their maiden flights; unaware, as they are, that a spy ring has been shooting the planes down with a ray machine hidden aboard a salvage vessel which is on hand to haul the downed aircraft aboard, crews and all.",DRAMA OF THE WAR ON SPIES!,"Comedy, Mystery, Thriller, Science Fiction",english,"bureaucracy, spy, murder, aviation, woman reporter, sabotage, umbrella, denial, screwball comedy, aircraft factory, test pilot, ray gun, spy ring, infiltrator, experimental aircraft, salvage ship, quisling"
Alabama's Ghost,1973-02-02,en,Alabama's Ghost,"A nightclub janitor discovers the personal effects of a magician and uses them to become a popular magician himself. Tampering with the secrets of the beyond has its price, however, as he soon learns when he is confronted by voodoo, vampirism, and an eviscerated ghost.",A super hip horror movie,"Horror, Comedy",english,"magic, bone car"
Romeo & Juliet,2013-09-12,en,Romeo & Juliet,"In Verona, bad blood between the Montague and Capulet families leads to much bitterness. Despite the hostility, Romeo Montague manages an invitation to a masked ball at the estate of the Capulets and meets Juliet, their daughter. The two are instantly smitten but dismayed to learn that their families are enemies. Romeo and Juliet figure out a way to pursue their romance, but Romeo is banished for his part in the slaying of Juliet's cousin, Tybalt.",The most dangerous love story ever told.,"Romance, Drama",english,"middle ages (476-1453), family feud, star crossed lovers, teenage romance, verona italy"
South of the Border,1939-12-15,en,South of the Border,A federal agent and his partner hang out in Mexico to check a revolution.,A screen sensation!,Western,english,"cowboy, submarine refuelling base"
The Shout,1978-06-16,en,The Shout,"A traveller by the name of Crossley forces himself upon a musician and his wife in a lonely part of Devon, and uses the aboriginal magic he has learned to displace his host.",A film of intense perversity - the madness of the mind.,"Horror, Drama, Thriller, Mystery",english,"small town, composer, cricket, super power, based on short story, devon"
All In The Game,2011-10-27,en,All In The Game,"When East Baltimore drug King Pin, Ontario Banks (Nelson Irizarry) decides he wants total control of the entire city-wide drug trade, he enlists the help of his closest friends, Lucky (Micaiah Jones), Vince (Chris Clanton) and Littles (Kelvin Page), and his crew to take it all, one body at a time. Even if it means one of his own people. A war will rage in between Ontario, and Italian Drug cartel leader Michael Caprisci (Mike McMullin) on who will hold the crown.","If you're gong to be in, you gotta be in it to win it!","Crime, Action, Thriller, Drama, War",english,"gang, prostitution, inner city"
All That Jazz,1979-12-16,en,All That Jazz,"Joe Gideon is at the top of the heap, one of the most successful directors and choreographers in musical theater. But he can feel his world slowly collapsing around him - his obsession with work has almost destroyed his personal life, and only his bottles of pills keep him going.",All that work. All that glitter. All that pain. All that love. All that crazy rhythm. All that jazz.,Drama,english,"movie business, show business, tap dancing, film in film, divorce, broadway, rainstorm, surgery, editing, restroom, screening room, amphetamine, prescription drug abuse, angel of death, preserved film"
Stella's Last Weekend,2018-10-12,en,Stella's Last Weekend,"Brothers Jack and Oliver reunite to put their beloved dog to sleep. While their zany mother plans a party to celebrate Stella's life, things go awry when the brothers discover they love the same girl.",Two brothers. One girl. Do the math.,Comedy,english,brother brother relationship
Things to Come,1936-03-31,en,Things to Come,"The story of a century: a decades-long second World War leaves plague and anarchy, then a rational state rebuilds civilization and attempts space travel.",The future is here!,"Drama, Science Fiction",english,"future, progress, black and white, scientist"
Fight the Fight,2011-03-31,cn,蔡李佛,"Having taken his father's advice, one man decides to return home in pursuit of a fresh start. While training at his father's martial arts school, he learns that his father has given consent to sell the school to a rival martial arts school.",Survival has a price.,Action,"cantonese, english",martial arts
Adventures of a Private Eye,1977-03-04,en,Adventures of a Private Eye,"While a private detective is away on vacation, his not particularly bright assistant takes it upon himself to ""solve"" a case that comes in. Complications ensue.",The clever dick who uncovers EVERYBODY!,Comedy,english,"sexual humor, private detective"
Little Giant,1946-02-22,en,Little Giant,"Lou Costello plays a country bumpkin vacuum-cleaner salesman, working for the company run by the crooked Bud Abbott. To try to keep him under his thumb, Abbott convinces Costello that he's a crackerjack salesman. This comedy is somewhat like ""The Time of Their Lives,"" in that Abbott and Costello don't have much screen time together and there are very few vaudeville bits woven into the plot.",They're Selling Vacuum Cleaners!,Comedy,"english, italian","con man, salesman, treachery, vacuum cleaner"
Rare Exports Inc.,2003-06-19,fi,Rare Exports Inc.,An elite trio of expert hunters venture into the woods to track and capture an especially rare and dangerous prey for the Christmas season.,"SANTA CLAUS, AUTENTIC. NICE PRICE. CALL US.","Comedy, Action","english, finnish","sniper, hunter, santa claus, hunting, rare export, short film"
The Legend of the Lone Ranger,1981-08-20,en,The Legend of the Lone Ranger,"When the young Texas Ranger, John Reid, is the sole survivor of an ambush arranged by the militaristic outlaw leader, Butch Cavendich, he is rescued by an old childhood Comanche friend, Tonto. When he recovers from his wounds, he dedicates his life to fighting the evil that Cavendich represents. To this end, John Reid becomes the great masked western hero, The Lone Ranger. With the help of Tonto, the pair go to rescue President Grant when Cavendich takes him hostage.","The untold story of the man behind the mask, and the legend behind the man.","Action, Adventure, Romance, Western",english,"lone ranger, wild bill hickok, buffalo bill"
WWE Survivor Series 1993,1993-11-24,en,WWE Survivor Series 1993,"The 1993 WWF Survivor Series took place on Thanksgiving Eve, November 24, 1993 at the Boston Garden in Boston, Massachusetts. The event featured four tag-team elimination matches and a bout for the Smoky Mountain Wrestling Tag Team Championship. The main event match saw the All-Americans, a team of face wrestlers from the United States, competing against the Foreign Fanatics, a team of heels that represented other countries. In an undercard match, four members of the Hart family competed against Shawn Michaels and a group of masked men. The original plan was for the Harts to face Jerry Lawler, with whom they were feuding, but Lawler was not able to appear at the event.",The Thanksgiving Tradition All Americans Wait For!,"Action, Drama",english,wrestling
Raving Maniacs,2005-04-12,en,Raving Maniacs,"At a rave, people give out glowing pills that turns people into zombies.",Their agony is your ecstasy.,Horror,english,"rave, zombie, drugs, rave party, incest"
The Ice Pirates,1984-03-16,en,The Ice Pirates,"In the not too distant future, where by far the most precious commodity in the galaxy is water. The last surviving water planet was somehow removed to the unreachable centre of the galaxy at the end of the galactic trade wars. The galaxy is ruled by an evil emperor presiding over a trade oligarchy that controls all mining and sale of ice from asteroids and comets.",A totally SPACED adventure! ...You have to be there to see it.,"Science Fiction, Action, Adventure, Comedy",english,"rebel, space war, water shortage, space western"
Casino Jack,2010-09-16,en,Casino Jack,"Based on a true story, a hot shot Washington DC lobbyist and his protégé go down hard as their schemes to peddle influence lead to corruption and murder.",Honor. Integrity. Principles. Everything is negotiable.,"Comedy, Crime, Drama","english, french","politics, biography, duringcreditsstinger"
S4300136,2024-07-05,en,S4300136,i got to meet mario and i really rally love mario and i think mario would easily defeat sonic the hedgehog in a fight and would make a great choice as the new president of america thank you for watching my video,mario,"Comedy, Horror",English,"new york city, found footage, vlog, experimental, experimental film, super mario, vlog style"
Bride Wars,2009-01-09,en,Bride Wars,Two best friends become rivals when their respective weddings are accidentally booked for the same day.,May the best bride win.,"Comedy, Romance",english,"friendship, bride, engagement, rivalry, wedding, family feud"
Electric Jesus,2020-10-01,en,Electric Jesus,Alabama preacher’s daughter runs off with a touring Xian hair metal band during the summer of 1986.,A STAR IS BORN AGAIN,"Music, Comedy",english,"music tour, 1980s"
I Can't Sleep,1994-05-18,fr,J'ai pas sommeil,"Ninon is a spirited hotel-manager who teaches self-defense classes to her terrified eldery neighbors. Daiga, an aspiring Lithuanian actress newly arrived to Paris, becomes fascinated with the life of a mysteriously beautiful drag performer.",Evil exists where least expected.,"Drama, Mystery, Thriller","english, french, russian","husband wife relationship, paris, france, drag queen, transvestite, drug addiction, immigration, language barrier, based on true story, serial killer, series of murders, woman director, brother brother relationship, gay theme, lgbt interest"
Sunset in El Dorado,1945-09-29,en,Sunset in El Dorado,"The story involves a rather odd flashback by Dale who is visiting El Dorado, home of her grandmother. She dreams about her grandmother's adventures including a romance with a cowboy who looks very much like Roy. Roy, of course, also exists in the present for Dale.",Champion Of Western Hearts... In A New Raceway To Adventuromance!,"Action, Adventure, Music, Romance, Western",english,"cowboy, grandmother"
Little Blue Box,1979-04-01,en,Little Blue Box,"A self-described horny but faithful husband, disappointed by his wife's frigidity, tries to spice things up with the help of an adult home-movie system sold to him by the lovely Miss Azure and featuring the mysterious Channel 69.","Can I Interest You In My ""Little Blue Box""?",Comedy,english,"husband wife relationship, orgy, frigidity, sexual fantasy"
Impaled Nazarene - 1999: Karmakeddon Warriors,1996-03-13,en,Impaled Nazarene - 1999: Karmakeddon Warriors,"London during March of 1996.  1. When all golden turned to shit, 2. Interlude, 3. 1999: Karmakeddon Warriors.",The only official video tape!,Music,english,"london, england, death metal, black metal"
Bar-L Ranch,1930-08-04,en,Bar-L Ranch,"Bob Tyler has rustler trouble while driving a herd of cattle to the new owner, but he refuses to turn the herd over to Frank Kellogg. He has a run-in with Jean Polk, discovers she is the owner of the cattle, and is fired. With his friend, Barney McCool , Bob snoops around and discovers that Kellogg is behind the rustling.",A POWERFUL ALL-TALKING WESTERN,Western,english,cattle rustling
Get Carter,2000-10-06,en,Get Carter,"Jack Carter, a mob enforcer living in Las Vegas, travels back to his hometown of Seattle for his brother's funeral. During this visit, Carter realizes that the death of his brother was not accidental, but a murder. With this knowledge, Carter sets out to kill all those responsible.",The Truth Hurts,"Action, Drama, Thriller, Crime",english,"ritual, pornographic video, car crash, remake"
The Essential Church,2023-07-28,en,The Essential Church,"When governments use Covid emergency act edicts to restrict the gathering and worship of the Church, three pastors facing the risk of imprisonment, unlimited fines, and their own Churches splitting apart take a courageous stand and re-open in the face of a world that has chosen to comply.",God vs government,"Documentary, Drama, History",English,"government, bible, church, lockdown, scripture, political, documentary, essential, macarthur"
Better Times,1919-07-13,en,Better Times,"Ezra Scroggs is a shiftless gambler who has let his hotel, the Lakeview, fall on hard times. Finally his daughter Nancy gets fed up seeing all the business go to his rival, Si Whittaker at the Majestic, and she decides to do something about it.",Joy! Joy! Joy!,Drama,no language,"partially lost film, fragment"
Bardelys the Magnificent,1926-09-30,en,Bardelys the Magnificent,"Rafael Sabatini's story of the swashbuckling era and of Bardeleys, the handsome courtier who could win any woman he set his mind to...and was not above boasting about it to all who would listen.",The screen's great lover in a dashing role!,"Action, Drama, Romance","english, no language","louis xiii, silent film, partially lost film"
COWBOYS: A Short Film,2022-06-03,en,COWBOYS: A Short Film,a dark story unfolds as teenagers living on a commune are ordered to commit a life altering task by their abusive leader.,"All was well, until a stranger arrived at the commune...","Western, Thriller, Crime, Drama",english,"commune, cult, neo-western, cowboys"
Springtime in the Rockies,1937-11-13,en,Springtime in the Rockies,"Ranch owner Sandra, fresh from animal husbandry school, brings a flock of sheep into cattle country. The local ranchers don't like it, and ranch foreman Gene must deal with it.",FLYING FISTS !...DANGEROUS ROMANCE - TUNEFUL- SONGS!,Western,english,singing cowboy
The Astronaut's Wife,1999-08-27,en,The Astronaut's Wife,"When astronaut Spencer Armacost returns to Earth after a mission that nearly cost him his life, he decides to take a desk job in order to see his beautiful wife, Jillian, more often. Gradually, Jillian notices that Spencer's personality seems to have changed, but her concerns fade when she discovers that she's pregnant. As Jillian grows closer to becoming a mother, her suspicions about Spencer return. Why does it seem as if he's a different person?",How well do you know the one you love?,"Drama, Science Fiction, Thriller",english,"mission, husband wife relationship, pregnancy, space travel, space, astronaut"
Murder Mystery Weekend Act 2: Maiden Fear,2010-04-22,en,Murder Mystery Weekend Act 2: Maiden Fear,"The story continues as more guests arrive at this old English manor for a classic murder mystery weekend. Unfortunately for them, the murders are real. But, fortunately so is the hardcore fucking! Trying to stay alive and getting sexual satisfaction is the name of the game.",You'll Die Loving!,"Mystery, Crime",english,"group sex, blow job, mansion, series of murders, cowgirl, lesbian sex, fingering, cumshot, sex toy, female detective, murder mystery, contacting spirits"
The Juggernaut,1915-04-19,en,The Juggernaut,"Back in college, John Ballard saved Philip Hardin's life. Twenty years later, John is the district attorney and Philip is president of a railroad notorious for its accident record. When John brings a suit against the railroad, Philip threatens to reveal a ruinous secret about John unless he drops the case. Meanwhile, a railroad inspector discovers that the trestle over which an express train carrying Philip's daughter is about to pass is in eminent danger of collapse.",The Colossus of Modern Railway Dramas,Drama,English,"blackmail, train"
Friday the 13th: A New Beginning,1985-03-22,en,Friday the 13th: A New Beginning,"Homicidal maniac Jason returns from the grave to cause more bloody mayhem. Young Tommy may have escaped from Crystal Lake, but he’s still haunted by the gruesome events that happened there. When gory murders start happening at the secluded halfway house for troubled teens where he now lives, it seems like his nightmarish nemesis, Jason, is back for more sadistic slaughters.",If Jason still haunts you... You're not alone.,"Horror, Mystery, Comedy",english,"mask, new jersey, sadism, psychopath, psychology, sequel, woods, slaughter, serial killer, hospital, slasher, whodunit, series of murders, supernatural horror"
See for Me,2022-01-07,en,See for Me,"When blind former skier Sophie cat-sits in a secluded mansion, three thieves invade for the hidden safe. Sophie's only defense is army veteran Kelly, who she meets on the See For Me app. Kelly helps Sophie defend herself against the invaders and survive.",Seeing is surviving.,Thriller,english,"cat, mansion, blind, home invasion, safecracker, security system, stubbornness, home alone, wall safe, olympic athlete, blind woman, skier, overprotective mother, remote location, mother daughter relationship, army veteran, independent woman, robbery crew, thriller, app, petsitting, fight for survival"
Topkapi,1964-09-02,en,Topkapi,Arthur Simon Simpson is a small-time crook biding his time in Greece. One of his potential victims turns out to be a gentleman thief planning to steal the emerald-encrusted dagger of the Mehmed II from Istanbul's Topkapi Museum.,Join us - we'll cut you in on the theft of the century!,"Adventure, Comedy, Crime","french, turkish, english","based on novel or book, smuggling (contraband), greece, museum, caper, theft, dagger, small time crook"
Christmas in Carolina,2020-11-01,en,Christmas in Carolina,"Career-driven investment banker Elle has given up on love until she meets Wesley, who invites her to his hometown in South Carolina, where she rediscovers the spirit of Christmas.","When you least expect it, love will find you.","Comedy, Romance, TV Movie",english,"career, holiday, south carolina, love, urban, christmas, carolinas"
CHROMAKOPIA TOUR,2024-10-23,en,CHROMAKOPIA TOUR,IM GOING ON TOUR WITH  lil yachty and paris texas,"Tyler, the Creator has announced he is going on tour!","Music, Horror, Fantasy",English,chromakopia
Shark Exorcist,2015-08-14,en,Shark Exorcist,A demonic nun unleashes HOLY HELL when she summons the devil to possess a MAN-EATING SHARK!!,Satan Has Jaws,Horror,english,"nun, shark attack, devil, demon, shark, exorcist, demonic possession, satanic ritual"
The Cry,2007-05-12,en,The Cry,"In New York, detective Alex Scott is investigating with his partner Sergio Perez the disappearance of several children. When they visit the Mexican witch Gloria, the woman advises that a powerful evil force is chasing the reincarnation of her son and drowning the other children to bring pain to their mothers.","The Urban Legend, That Kills","Drama, Horror, Thriller","spanish, english",woman director
Atom Age Vampire,1960-08-16,en,"Seddok, l'erede di Satana","When a singer is horribly disfigured in a car accident, a scientist develops a treatment which can restore her beauty by injecting her with a special serum. While performing the procedure, however, he falls in love with her. As the treatment begins to fail, he determines to save her appearance, regardless of how many women he must kill for her sake.",You'll gasp with Horror...,Horror,italian,"transformation, car crash, serial killer, scientist, disfigurement, misleading information"
Mermaids,2003-11-15,en,Mermaids,Mermaid sisters hunt down their father's human killer... and deal with their own personal relationships with the humans.,A new kind of tail!,"Fantasy, Romance",english,"sibling relationship, mermaid, love, murder"
Let No Man Write My Epitaph,1960-11-10,en,Let No Man Write My Epitaph,"Nick Romano lives in a poor tenement building on the south side of Chicago with his well-meaning but drug-addicted mother, Nellie. She encourages him to pursue his piano-playing talent in hopes that it will bring him a better life. Nellie's neighbors, like the alcoholic ex-lawyer who secretly loves her, help her in keeping Nick away from Louie, the resident drug dealer. But a chance meeting between Nick and Louie could change things forever.",Ripped Raw and Roaring from Real Life!,"Drama, Crime",english,"chicago, illinois, self sacrifice, heroin, drug addiction, junkie, sequel, drug pusher, single mother, playing piano, street fight, street kid, poor kid, 1950s, southside"
The Devonsville Terror,1983-10-24,en,The Devonsville Terror,"Dr. Worley investigates a 300-year-old witch's curse in the New England town of Devonsville. Three liberated, assertive women move into town, which angers the bigoted, male-dominated town fathers. One of the women is a reincarnation of the witch, who proceeds to exact revenge on them.",Three hundred years ago they burned her as a witch. Now she's back!,Horror,english,"witch, revenge, curse, witch hunt"
Love Is the Devil: Study for a Portrait of Francis Bacon,1998-09-16,en,Love Is the Devil: Study for a Portrait of Francis Bacon,"Biography of the British painter Francis Bacon. The movie focuses on his relationship with George Dyer, his lover. Dyer was a former small time crook.",There's no beauty without the wound,Drama,"french, english","new love, loss of loved one, arts, artists' life, painter, lgbt, gay theme, gay artist"
Precious Cargo,2016-07-15,en,Precious Cargo,"After a botched heist, Eddie  a murderous crime boss, hunts down the seductive thief Karen who failed him. In order to win back Eddie’s trust, Karen recruits her ex-lover and premier thief Jack to steal a cargo of rare precious gems. But when the job goes down, allegiances are betrayed and lines are crossed as Jack, Karen, and Eddie face off in a fateful showdown.",Never steal from a thief,"Action, Crime, Thriller",english,"crime boss, heist"
Routines,2020-08-30,en,Routines,An self-destructive comedian falls in love with the singer of a punk band.,A Stand-Up Tragedy,"Comedy, Drama, Romance",english,"love, tragedy, interracial relationship, interracial marriage, interracial romance, stand-up comedian, washed up"
"Family Guy Presents: Something, Something, Something, Dark Side",2009-12-22,en,"Family Guy Presents: Something, Something, Something, Dark Side",Peter makes good on another power outage at home by retelling Star Wars Episode V: The Empire Strikes Back.,"There's something, something, funny going on here...","Animation, Comedy, Fantasy, Science Fiction",english,"crude humor, combat, light saber fight, dark side, spaceship"
Unsubscribe Nø. 4: The Saddest Song in the World,2010-01-01,en,Unsubscribe Nø. 4: The Saddest Song in the World,Broken-hearted and mashed up.,The Saddest Song in the World,Animation,english,woman director
Maelstrom,2010-01-23,en,Maelstrøm,a melancholic dream reveals Eternity,winter dream,"Animation, Drama",english,"stop motion, animation, eric leiser, jeffrey leiser, stopmotion"
