title,release_date,original_language,original_title,overview,tagline,genres,spoken_languages,keywords
Apocalypse: Caught in the Eye of the Storm,1998-09-27,en,Apocalypse: Caught in the Eye of the Storm,"Two news broadcasters, through investigation, find that they were left behind after the biblical rapture. Bronson Pearl and Helen Hannah are two news broadcasters who are covering the impending war in Israel. Yet, suddenly millions of people disappear, then a new leader performs an incredible miracle. These are astounding media events. Helen soon comes to the realization that these times are fulfilling biblical prophesy... and she was left behind.","Two people, two beliefs. One choice.",Thriller,english,"israel, bible, anti-christ, religion, armageddon"
Snow White and the Fairytale Fun Force,2023-02-07,en,Snow White and the Fairytale Fun Force,"Little Snow White is growing up fast and when her bestie Dorothy is in trouble, the sassy princess quickly calls on the bravest gang of fairytale characters ever assembled to come to her friend's rescue. Meet adorable Little Red Riding Hood, mischievous Pinocchio, big-hearted Robin Hood and brave King Arthur. Together they are the Fairytale Fun Force and they are ready to spring into action. Blunderboar the giant and his trusty hound Jack have stolen Cupid's arrow, Hatter's tea set and the Cheshire's Cat body to create a magic potion that will trap Dorothy in Oz forever. Will Snow White and her posse rescue Alice and defeat Blunderboar? Join your favorite fairytale characters to find out in Snow White And The Fairytale Fun Force.",Who’s the best hero of them all?,"Animation, Family",english,"princess, based on fairy tale"
Little Frog Man,2025-01-12,en,Little Frog Man,The absurd story of an appropriately named little frog man and the path of havoc he leaves behind him. Watch as his shenanigans catch up to him in Little Frog Man.,Y’all ain’t ready.,"Comedy, Animation, Fantasy",english,"cartoon, puppet, short film, frog, absurd, sarcastic"
Shellshock Rock,1979-01-01,en,Shellshock Rock,"John T. Davis’ first in a trilogy of films (including Protex Hurrah (1980) and Self-Conscious Over You (1981)) exploring the Belfast filmmaker’s local subculture and American cultural influence. It provides a look at the burgeoning punk scene in Northern Ireland, featuring early footage of bands such as Stiff Little Fingers, The Undertones, Protex, The Outcasts, and Rhesus Negative, among others.  (from: http://artistsspace.org/programs/shellshock-rock/)",An alternative blast from the past,"Music, Documentary",english,punk rock
Kinjite: Forbidden Subjects,1989-02-03,en,Kinjite: Forbidden Subjects,A brutal Los Angeles police lieutenant is determined to bust up an organization that forces underage girls into prostitution.,Desire. Temptation. Revenge.,"Action, Drama, Thriller",english,"rape, eating non food"
Starwoids,2001-01-01,en,Starwoids,"Noah might have traveled for 40 days and nights in search of land, but did he ever wait 42 straight days and nights for a movie? Starwoids tells the stranger than fiction details of Star Wars fans (A.K.A. Starwoids) and their six week-line-waiting quest to see Episode I - The Phantom Menace on opening day.",Fact is Stranger Than Science Fiction,Documentary,English,"pop culture, fan culture, space opera, fandom"
The Land Unknown,1957-10-15,en,The Land Unknown,"Navy Commander Alan Roberts is assigned to lead an expedition to Little America in Antarctica to investigate reports of a mysterious warm water inland lake discovered a decade earlier. His helicopter and its small party, including reporter Maggie Hathaway, is forced down into a volcanic crater by a fierce storm. They find themselves trapped in a lush tropical environment that has survived from prehistoric times.",BEHIND A BARRIER OF ANTARCTIC ICE... A PARADISE OF HIDDEN TERRORS!,"Adventure, Fantasy, Science Fiction",english,"rescue, helicopter, monster, tyrannosaurus rex, expedition, carnivorous plant, jungle, prehistoric creature, reporter, dinosaur, raft, antarctica, sea monster, pterodactyl, lost world, plesiosaur"
Soul Food Junkies,2012-01-01,en,Soul Food Junkies,"To many African Americans, soul food is sacrament, ritual, and a key expression of cultural identity. But does this traditional cuisine do more harm to health than it soothes the soul?",A documentary film you can sink your teeth into.,Documentary,english,"food & drink, health crisis, social & cultural documentary, healthy eating, african american, food culture"
Zootopia,2016-02-11,en,Zootopia,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.",Welcome to the urban jungle.,"Animation, Adventure, Family, Comedy",english,"sheep, allegory, lion, hippopotamus, cartoon, bullying, polar bear, con artist, anthropomorphism, revenge, conspiracy, urban, female protagonist, rookie cop, missing person, racial prejudice, injustice, reconciliation, buddy cop, stereotype, cartoon rabbit, discrimination, cartoon bear, cartoon animal, cartoon fox, cartoon elephant"
The Associate,1996-10-25,en,The Associate,Laurel Ayres is a businesswoman trying to make it but unfortunately she works at a investment firm where she does all the work but all the senior investors like Frank Peterson grab all the credit. She then leaves and starts her own firm. While trying to find clients Laurel pretends that she has a male partner named Robert Cutty. And when she starts to do well all of her clients wants to meet Cutty which is difficult since he doesn't exist.,Behind every great man is a woman... Wishing he'd get the hell out of her way.,Comedy,english,"career, fraud, sexism, wall street, broker, autonomy, partner, disguise, gender disguise, gender equality"
Stonewall,1995-10-01,en,Stonewall,A group of gay friends try to live with dignity and self-respect while events build to the opening battle in the major gay rights movement.,The fight for the right to love,"Romance, Drama, Comedy, History",english,"transvestism, male homosexuality, raid, police raid, drag, gay pride, gay theme"
Danger Flight,1939-11-01,en,Danger Flight,Crooks plot to steal a payroll being shipped by air.,"You're Crazy, Tommy, No Plane Can Hold Together in a Storm Like This!",Adventure,english,storm
And Soon the Darkness,2010-02-25,en,And Soon the Darkness,"When two American girls on a bike trip in a remote part of Argentina split up and one of them goes missing, the other must find her before her worst fears are realized.",Alone. Stranded. No One to Trust.,"Horror, Thriller, Crime, Mystery","spanish, english","kidnapping, remake, murder, argentina, torture"
Samson and Delilah,1949-12-21,en,Samson and Delilah,"When strongman Samson rejects the love of the beautiful Philistine woman Delilah, she seeks vengeance that brings horrible consequences they both regret. The classic story of Samson and Delilah as told by Cecil B. DeMille.",HISTORY'S MOST BEAUTIFUL AND TREACHEROUS WOMAN!,"Drama, Romance, Adventure",english,"epic, christianity, torah, bible, male with long hair, god, strong man, old testament, religious film, strongman, christian, christian faith, biblical, samson, book of judges, philistine"
Area 51 Confidential,2011-09-24,en,Area 51 Confidential,People from various walks of life find themselves held captive in a desolate area surrounding a secret government installation rumored to contain extraterrestrial life,"Now, discover the truth...","Horror, Science Fiction, Thriller",english,"alien, found footage, area 51"
Staccato,2016-03-13,en,Staccato,"Sean is a young labourer newly appointed to tend the grounds of Falgirth, a stately manor in 19th C Ireland. But a secret romance results in a possessive, power-play and a betrayal that can never be forgiven.",A Short Sharp Love Affair,"Romance, Drama",english,"romance, betrayal, lgbt, 19th century, gay theme, short film"
Gangdagu Fighter 01 - Invaders of Planet Lewis,1991-12-12,en,Gangdagu Fighter 01 - Invaders of Planet Lewis,"Initial installment in the Gangdagu series that followed the unofficial 1990 Korean Dragon Ball film.  No translations/subtitles accessible. Possibly the same director, as his name in Korean is in the credits. There is little information is available on the cast/crew, or release details. Original Korean Title: 깡다구 화이터 01 루이스 행성의 침략자","First Sequel to ""Fight Son Goku, Win Son Goku""","Adventure, Action, Fantasy",korean,invaders of planet lewis
Dirt,2004-01-23,en,Dirt,"Dolores is an illegal immigrant from El Salvador who works as a housemaid in New York City. Under the constant fear of likely deportation, she wonders whether she should return to her country. Her decision to leave is strengthened when her life is suddenly complicated by a series of unfortunate events.",She lives her life without leaving a mark.,Drama,"english, spanish","undocumented immigrant, maid"
Boarding Gate,2007-08-22,en,Boarding Gate,A sordid and complex series of events unfolds when an ex-prostitute becomes involved with a couple in Hong Kong.,She's losing control again.,"Thriller, Drama","cantonese, english, french","paris, france, chase, stalker, murder, hong kong, drugs"
All About Ashlynn,2008-04-04,en,All About Ashlynn,"Boy, have we got a treat for you. It's our contract star, Ashlynn Brooke, getting wild & rowdy in five hot new scenes! Watch her bounce on Tommy Gunn's one-eyed cleaver, then get pounded by Mark Wood in the beaver. After that, watch her get it just the way she likes it from Ramon Nomar, Jordan Ash, and Marco Banderas. She's just a simple southern girl that loves to show her skills, so she'll do whatever it takes to pay the bills!",5 Hot New Scenes with Ashlynn Brooke,Romance,english,erotic vignettes
Boots and Saddles,1937-10-04,en,Boots and Saddles,"Young Englishman inherits ranch which he wants to sell, but Gene's gonna turn him into a real westerner instead. When new owner Spud arrives from England, Autry convinces him not to sell the ranch but to raise horses for the Army. When both Autry's and Neale's bids are the same, the Colonel calls for a race to decide the winner. But that night Neale has Autry's stable burned.",Gene takes on the British,"Western, Action, Drama",english,"horse race, bugle"
Devil's Canyon,1953-08-13,en,Devil's Canyon,An outlaw woman  helps one Arizona convict stop another with a Gatling gun.,500 desperate men caged-up with one woman!,"Action, Crime, Drama, Western",english,"prison escape, revenge"
The Christian Licorice Store,1971-11-01,en,The Christian Licorice Store,"A tennis champ falls in with the Hollywood crowd, finds himself being corrupted by the life in the fast lane.",The world is yours if you're a winner.,"Comedy, Drama","english, spanish","trainer, tennis player, hollywood"
Catch and Release,2006-10-20,en,Catch and Release,"For a grieving fiancée, learning to love again requires the help of her late love's three best friends.",Life is messy. Love is messier,"Comedy, Drama, Romance",english,"romantic comedy, woman director"
Date and Switch,2014-02-14,en,Date and Switch,Two guys who make a pact to lose their virginity before prom find their friendship tested when one of them comes out of the closet.,Love's all about the right combination.,Comedy,english,"friendship, male homosexuality, sex comedy, gay theme, lgbt interest"
The Brothers,1947-05-07,en,The Brothers,An orphan wreaks havoc on a remote Scottish island when she causes an age-old feud to be reignited.,"The Worthy Scottish Successor to Our Great Hit - ""I Know Where I'm Going!""",Drama,english,"sibling relationship, scotland, murder, british noir, remote"
The Smile,2022-02-17,en,The Smile,"The Smile is a story about beauty and horror, the definitive biopic documentary about the life and the downfall of Knud Dendermonde, the world-famous damsel-devouring horror-movie actor we all know as The Smile. In this documentary, we trace every step of Knud's turbulent life. There will be interviews with many of his colleagues, movie trailers and clips and unique behind the scenes footage. Finally, we get to hear the shocking truth, what REALLY happened!","When a world-famous movie star is accused of eating his female co-stars, his career goes down the drain. That wipes the smile off his face.",Comedy,english,"dark comedy, satire, mockumentary, stop motion"
Senta a púa operation - betrayal on the high comand,2019-04-05,en,Operação Senta a púa - traição no alto comando,"A group of drug dealers, located in the outskirts of the Federal District, is involved in a corruption and drug distribution scheme.  Without being able to involve any military of the unit itself, the commander of the III FAE, Brigadier Montgomery, will have to  count on the help of someone to carry out the suicidal mission of trying to locate the traffickers, in order to inform  the actual location to the Federal Police.  Aided by diplomat Rodrigo, Brigadier Montgomery remembers a former captain who was involved in the plane crash of the 1907 Gol aircraft,  in 2006, and for that reason he was dismissed from the corporation.  Will this former Air Force captain, already forgotten by everyone, be able to help the Air Force and the Federal Police to locate and  arrest this dreaded group of drug dealers?",Senta a púa operation - betrayal on the high comand,Action,English,"war hero, second war"
Wanderlust,2012-02-23,en,Wanderlust,"Rattled by sudden unemployment, a Manhattan couple surveys alternative living options, ultimately deciding to experiment with living on a rural commune where free love rules.",Leave your baggage behind,"Comedy, Romance",english,"hippie, commune, nudism, nude protest, aftercreditsstinger, duringcreditsstinger, naturism"
47 Meters Down: Uncaged,2019-08-15,en,47 Meters Down: Uncaged,"Four teenage girls go on a diving adventure to explore a submerged Mayan city. Once inside, their rush of excitement turns into a jolt of terror as they discover the sunken ruins are a hunting ground for deadly great white sharks. With their air supply steadily dwindling, the friends must navigate the underwater labyrinth of claustrophobic caves and eerie tunnels in search of a way out of their watery hell.",Fear runs deep.,"Horror, Drama, Adventure",english,"mexico, diving, maya civilization, shark attack, animal attack, altar, water monster, sequel, teenage girl, scuba diving, creature, underwater, shark, great white shark, ruins, eaten by animal, cave diving"
Parked,2010-09-01,en,Parked,"Fred Daly returns to Ireland with nowhere to live but his car. Then dope-smoking 21-year-old Cathal parks beside him, and brightens up his lonely world. Encouraged by Cathal, Fred meets attractive music teacher Jules. Growing closer, these three outsiders are set on a course that will change their lives forever.",Sometimes the person you least expect can help you find your way home.,Drama,english,drug addiction
The Other Side of Carnival,2010-05-11,en,The Other Side of Carnival,"The Other Side of Carnival (2010) is a 45-minute award-winning documentary that explores Carnival's social and economic impact on Trinidad &amp; Tobago. With more than 60 interviews from professors, medical staff, police officers, government officials, students, tourists, every day locals and more, The Other Side of Carnival is able to highlight that while Carnival is an exciting occasion, it is a festival that creates turmoil, which is not widely visible...or is it just simply ignored?  Known as ""The Greatest Show on Earth"", this documentary captures the roots of Carnival and how far some go to keep the original idea alive, and how others attempt to integrate change.  Consummating over two years of research and interviews and with the coordination of a multi-national crew (Trinidad &amp; Tobago, US and UK), The Other Side of Carnival does not pass judgment on Carnival in Trinidad &amp; Tobago, but aims to bring an awareness of the type of influence that Carnival has on the population.",Unraveling the thrills and ills of the “Greatest Show on Earth”,Documentary,english,"calypso, carnival, woman director, masquerade, mas, trinidad and tobago, steelpan, steel drum, soca, fete, charysse tia harper"
Heaven & Hell,2018-11-06,en,Reverse Heaven,"In 1990s Los Angeles, danger lurks around the corner after a freak accident leaves an undercover cop with supernatural abilities while also unleashing a horror that he must destroy before it destroys everything.",Heaven's in trouble and there's one man who can help,Drama,english,"undercover cop, los angeles, california, super power, 1990s"
