title,release_date,original_language,original_title,overview,tagline,genres,spoken_languages,keywords
Mountain Devil,2017-01-17,en,Mountain Devil,"Based on the true events that occurred in the Appalachian Mountains, Mountain Devil recounts the frightening events of the night Frank Peterson and his friend spent the night in a secluded cabin stalked by something they could not explain. With only a few clues and journal entries we try to piece together the shocking events, and attempt to shed insight into one of the greatest mysteries of our time",Giants Walk Among Us!,"Documentary, Horror",English,"bigfoot, docudrama"
10 Years of Tomb Raider: A GameTap Retrospective,2008-02-06,en,10 Years of Tomb Raider: A GameTap Retrospective,"Lara Croft Tomb Raider: 10 Years profiles the creators, the games, the live-action models, and the fans who have collectively made Tomb Raider a pop culture phenomenon.",Unlock The Past,Documentary,english,video game
As They Made Us,2022-04-08,en,As They Made Us,"Abigail, a divorced mother of two, is struggling to balance the dynamics within her dysfunctional family as she attempts to cultivate new love.","If you don't laugh, you'll cry.","Drama, Romance, Comedy","english, spanish, hebrew","sadness, jewish life, dysfunctional family, single mother, gardener, illness, caregiver, awkwardness, older brother younger sister, estranged son, divorced couple, estranged brother, father daughter relationship, brother sister relationship, hebrew language, home health aide, elderly parents, declining health, childhood memories"
Rhubarb,1951-08-29,en,Rhubarb,"Rich, eccentric T.J. Banner adopts a feral cat who becomes an affectionate pet he names Rhubarb. Then T.J. dies, leaving to Rhubarb most of his money and a pro baseball team, the Brooklyn Loons. When the team protests, publicist Eric Yeager convinces them Rhubarb is good luck. But Eric's fiancée Polly seems to be allergic to cats, and the team's success may mean new hazards for Rhubarb.",It's the Funniest Picture in Nine Lifetimes!,"Comedy, Family",english,"sports, cat, baseball"
Johnny Mysto: Boy Wizard,1997-12-30,en,Johnny Mysto: Boy Wizard,"In this light-hearted fantasy, a talented young magician stumbles across an unusual ring and ends up in Camelot before King Arthur. It turns out the ring belongs to none other than Merlin.",A magical quest through time!,"Family, Fantasy",english,"magic, wizard"
Stinger,2005-01-01,en,Stinger,"For nearly two months, the USS Newark, carrying an experimental, top-secret military cargo, has been lost at sea. When the sub is finally discovered sixty miles off the coast of California, the government, eager to regain the lost cargo, assembles a highly-accomplished salvage team, accompanied by Dr. Carly Ryan - head of the original project - and her assistant. Unaware of the danger lurking within the sub, the team is sent in to recover the cargo and determine the cause of the ship's disappearance. Written by psycroptic",Terror has surfaced.,"Action, Horror, Science Fiction, Adventure","english, spanish, french",bug
A Dream,2019-07-29,en,A Dream,Eddie is a dedicated family man juggling a hectic day job and a big grandiose dream that he can’t seem to shake.,Will he lose everything he has in pursuit of everything he’s ever wanted?,Drama,english,"dream, hollywood, acting, drama"
Letter from an Unknown Woman,1948-04-28,en,Letter from an Unknown Woman,"A pianist about to flee from a duel receives a letter from a woman he cannot remember. As she tells the story of her lifelong love for him, he is forced to reinterpret his own past.",This is the love every woman lives for…the love every man would die for!,"Drama, Romance",english,"love of one's life, anonymous letter, ignorance, author, duel, vienna, austria, illegitimate son"
Budapest 8,2011-12-09,en,Budapest 8,Girlfriends Films presents episode 8 to the series “Budapest”. The plot is spent spending time to the previous episodes. This is once again full of Gorgeous European women. The first is Elexis Monroe and Blue Angel. They discuss possibly being with each other. They head off to the bedroom. Lots of great pussy licking and grinding. Next Dorothy Black and Vera Katalin is a couple. There is beautifully chemistry between the two. Then Vera Katalin and Sophie Moone are talking about books. They go off to the library to see the collection. That’s where some great kissing and caressing take place. Then the bedroom is right there. Great seduction and everything looks so enhanced between the two.,Hungry For Lesbian Love,Romance,english,"lesbian sex, cunnilingus, fingering"
Best Friends Forever,2013-01-19,en,Best Friends Forever,"Harriet, a comic book artist with a secret, and her reckless BFF, Reba, take their '76 AMC Pacer on the open road and instead get a wild ride towards an impending nuclear apocalypse.","Two girls, a '76 AMC Pacer, the open road and an impending nuclear apocalypse.",Drama,english,woman director
Batman Beyond: The Movie,1999-01-10,en,Batman Beyond: The Movie,"Fuelled by remorse and vengeance, a high schooler named Terry McGinnis becomes the new Batman as he fights crime in the futuristic Gotham City.","A new hero, for a new era.","Animation, Action, Family, Science Fiction, TV Movie",english,"superhero, cartoon, based on comic, cyberpunk, compilation, super power, super villain, edited from tv series, vigilante justice"
